237634it [22:10:16,  2.98it/s]tf.Tensor(2423.413, shape=(), dtype=float32)
237635it [22:10:17,  2.98it/s]tf.Tensor(3520.7534, shape=(), dtype=float32)
237636it [22:10:17,  2.97it/s]tf.Tensor(1995.0801, shape=(), dtype=float32)
237637it [22:10:17,  2.96it/s]tf.Tensor(2543.2158, shape=(), dtype=float32)
237638it [22:10:18,  2.97it/s]tf.Tensor(3370.502, shape=(), dtype=float32)
237639it [22:10:18,  2.97it/s]tf.Tensor(2955.8203, shape=(), dtype=float32)
237640it [22:10:18,  2.97it/s]tf.Tensor(2764.5269, shape=(), dtype=float32)
237641it [22:10:19,  2.98it/s]tf.Tensor(4387.3125, shape=(), dtype=float32)
237642it [22:10:19,  2.98it/s]tf.Tensor(1629.78, shape=(), dtype=float32)
237643it [22:10:19,  2.98it/s]tf.Tensor(3779.63, shape=(), dtype=float32)
237644it [22:10:20,  2.97it/s]tf.Tensor(3985.2783, shape=(), dtype=float32)
237645it [22:10:20,  2.99it/s]tf.Tensor(2913.3467, shape=(), dtype=float32)
237646it [22:10:20,  2.97it/s]tf.Tensor(2729.27, shape=(), dtype=float32)
237647it [22:10:21,  2.97it/s]tf.Tensor(2599.852, shape=(), dtype=float32)
237648it [22:10:21,  2.99it/s]tf.Tensor(2258.8535, shape=(), dtype=float32)
237649it [22:10:21,  2.99it/s]tf.Tensor(2872.8135, shape=(), dtype=float32)
237650it [22:10:22,  2.99it/s]tf.Tensor(3169.638, shape=(), dtype=float32)
237651it [22:10:22,  2.99it/s]tf.Tensor(3278.6465, shape=(), dtype=float32)
237652it [22:10:22,  2.99it/s]tf.Tensor(2090.719, shape=(), dtype=float32)
237653it [22:10:23,  2.98it/s]tf.Tensor(3239.5183, shape=(), dtype=float32)
237654it [22:10:23,  2.98it/s]tf.Tensor(4153.082, shape=(), dtype=float32)
237655it [22:10:23,  2.98it/s]tf.Tensor(3976.1226, shape=(), dtype=float32)
237656it [22:10:24,  2.97it/s]tf.Tensor(2448.2393, shape=(), dtype=float32)
237657it [22:10:24,  2.97it/s]tf.Tensor(1954.4293, shape=(), dtype=float32)
237658it [22:10:24,  2.98it/s]tf.Tensor(3081.5312, shape=(), dtype=float32)
237659it [22:10:25,  2.98it/s]tf.Tensor(2921.8298, shape=(), dtype=float32)
237660it [22:10:25,  2.98it/s]tf.Tensor(2669.1077, shape=(), dtype=float32)
237661it [22:10:25,  2.98it/s]tf.Tensor(2749.162, shape=(), dtype=float32)
237662it [22:10:26,  2.98it/s]tf.Tensor(4117.461, shape=(), dtype=float32)
237663it [22:10:26,  2.97it/s]tf.Tensor(2603.7073, shape=(), dtype=float32)
237664it [22:10:26,  2.98it/s]tf.Tensor(2980.767, shape=(), dtype=float32)
